Rk	Team	G	Pts/G	TotPts	Att	Att/G	Yds	Avg	Yds/G	TD	Lng	1st	1st%	20+	40+	FUM
1	Seattle Seahawks	16	17.3	277	362	22.6	1,304	3.6	81.5	10	48T	71	19.6	4	1	9
2	New York Jets	16	19.6	314	373	23.3	1,335	3.6	83.4	4	45	62	16.6	6	1	8
3	Denver Broncos	16	18.5	296	408	25.5	1,337	3.3	83.6	10	48T	81	19.9	5	1	4
4	Carolina Panthers	16	19.2	308	364	22.8	1,415	3.9	88.4	11	63T	74	20.3	10	1	9
5	Pittsburgh Steelers	16	19.9	319	382	23.9	1,459	3.8	91.2	6	44	71	18.6	6	1	12
6	Arizona Cardinals	16	19.6	313	373	23.3	1,460	3.9	91.2	9	52	79	21.2	12	2	12
7	Cincinnati Bengals	16	17.4	279	344	21.5	1,477	4.3	92.3	8	69T	74	21.5	11	3	4
8	Kansas City Chiefs	16	17.9	287	383	23.9	1,571	4.1	98.2	7	42	86	22.5	9	1	7
9	New England Patriots	16	19.7	315	397	24.8	1,580	4.0	98.8	8	48T	77	19.4	8	1	6
10	Houston Texans	16	19.6	313	388	24.2	1,597	4.1	99.8	10	85T	79	20.4	10	1	5
11	Tampa Bay Buccaneers	16	26.1	417	466	29.1	1,606	3.4	100.4	12	21T	104	22.3	4	0	9
12	Baltimore Ravens	16	25.1	401	418	26.1	1,661	4.0	103.8	10	62	80	19.1	9	1	7
13	Oakland Raiders	16	24.9	399	406	25.4	1,678	4.1	104.9	12	80T	94	23.2	8	2	2
14	Atlanta Falcons	16	21.6	345	416	26.0	1,680	4.0	105.0	20	44	107	25.7	12	1	7
15	Jacksonville Jaguars	16	28	448	464	29.0	1,709	3.7	106.8	15	87T	102	22.0	12	1	4
16	Buffalo Bills	16	22.4	359	394	24.6	1,730	4.4	108.1	10	58	87	22.1	9	2	4
17	Minnesota Vikings	16	18.9	302	411	25.7	1,748	4.3	109.2	7	72T	94	22.9	7	2	6
18	Tennessee Titans	16	26.4	423	462	28.9	1,797	3.9	112.3	11	32	101	21.9	10	0	3
19	Detroit Lions	16	25	400	428	26.8	1,808	4.2	113.0	18	75	96	22.4	14	5	7
20	St. Louis Rams	16	20.6	330	453	28.3	1,820	4.0	113.8	7	47	98	21.6	15	1	9
21	Green Bay Packers	16	20.2	323	420	26.2	1,905	4.5	119.1	13	55	96	22.9	14	4	8
22	Chicago Bears	16	24.8	397	433	27.1	1,934	4.5	120.9	9	44T	103	23.8	5	1	6
22	Dallas Cowboys	16	23.4	374	461	28.8	1,934	4.2	120.9	16	50T	113	24.5	10	1	2
24	New York Giants	16	27.6	442	444	27.8	1,942	4.4	121.4	15	68T	104	23.4	12	4	11
25	Indianapolis Colts	16	25.5	408	452	28.2	1,952	4.3	122.0	14	56	89	19.7	16	3	10
26	Washington Redskins	16	23.7	379	406	25.4	1,962	4.8	122.6	10	70	103	25.4	11	4	13
27	San Diego Chargers	16	24.9	398	417	26.1	2,005	4.8	125.3	17	65T	101	24.2	21	3	7
28	Miami Dolphins	16	24.3	389	502	31.4	2,019	4.0	126.2	13	53	112	22.3	12	3	3
29	San Francisco 49ers	16	24.2	387	504	31.5	2,020	4.0	126.2	20	71T	128	25.4	9	4	4
30	Cleveland Browns	16	27	432	458	28.6	2,055	4.5	128.4	11	54	104	22.7	14	4	6
31	New Orleans Saints	16	29.8	476	421	26.3	2,071	4.9	129.4	12	45	103	24.5	17	1	15
32	Philadelphia Eagles	16	26.9	430	478	29.9	2,153	4.5	134.6	10	84	100	20.9	15	5	3
